state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
CA,us-ca-chula_vista,Chula Vista,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-contra_costa_county,Contra Costa County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-corona,Corona,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-elk_grove,Elk Grove,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-escondido,Escondido,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-fontana,Fontana,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-fremont,Fremont,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-fresno,Fresno,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-fullerton,Fullerton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-garden_grove,Garden Grove,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-glendale,Glendale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-hayward,Hayward,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-huntington_beach,Huntington Beach,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-irvine,Irvine,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-lancaster,Lancaster,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-long_beach,Long Beach,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-los_angeles,Los Angeles,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-los_angeles_county,Los Angeles County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-modesto,Modesto,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-moreno_valley,Moreno Valley,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-oakland,Oakland,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-oceanside,Oceanside,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-ontario,Ontario,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-orange,Orange,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-orange_county,Orange County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-oxnard,Oxnard,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-palmdale,Palmdale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-pasadena,Pasadena,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-pomona,Pomona,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-rancho_cucamonga,Rancho Cucamonga,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-riverside,Riverside,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-roseville,Roseville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-sacramento,Sacramento,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-salinas,Salinas,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-san_bernardino,San Bernardino,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-san_diego,San Diego,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-san_diego_county,San Diego County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-san_francisco,San Francisco,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-san_jose,San Jose,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-santa_ana,Santa Ana,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-santa_clara,Santa Clara,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-santa_clarita,Santa Clarita,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-santa_rosa,Santa Rosa,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-stockton,Stockton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-sunnyvale,Sunnyvale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-torrance,Torrance,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-victorville,Victorville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CA,us-ca-visalia,Visalia,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-adams_county,Adams County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-arapahoe_county,Arapahoe County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-arvada,Arvada,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-aurora,Aurora,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-boulder,Boulder,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-boulder_county,Boulder County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-brighton,Brighton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-broomfield,Broomfield,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-castle_rock,Castle Rock,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-centennial,Centennial,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-colorado_springs_pprbd,Colorado Springs Pprbd,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-commerce_city,Commerce City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-denver,Denver,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-douglas_county,Douglas County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-eagle_county,Eagle County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-el_paso_county,El Paso County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-englewood,Englewood,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-erie,Erie,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-federal_heights,Federal Heights,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-firestone,Firestone,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-fort_collins,Fort Collins,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-frederick,Frederick,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-garfield_county,Garfield County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-grand_junction,Grand Junction,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-grand_junction_mesa_county,Grand Junction Mesa County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-greeley,Greeley,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-greenwood_village,Greenwood Village,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-jefferson_county,Jefferson County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-johnstown,Johnstown,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-lakewood,Lakewood,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-larimer_county,Larimer County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
CO,us-co-littleton,Littleton,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
